,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.12.2021,3.1316,2.5304,3.4444,4.7526,0.1951,0.6655,0.2797,4.9491,5.8177,1.3504,3.865,0.2482,0.4883,1.0713,0.0599,0.4837,0.3082,4.3933,0.2757,0.7827,0.6903,0.058,0.3718,0.2104,2.9748,0.0421,0.1635,1.1961,0.658,0.1317,252.3703,6.1354
2,10.12.2021,3.1406,2.5304,3.4534,4.7488,0.1949,0.6655,0.2796,4.949,5.7961,1.3531,3.8623,0.2477,0.488,1.0728,0.0598,0.4836,0.3188,4.3923,0.2751,0.7881,0.6896,0.058,0.3719,0.2095,2.9746,0.0421,0.1626,1.1958,0.6576,0.1304,250.0596,6.1318
3,09.12.2021,3.1301,2.5304,3.4509,4.7448,0.1947,0.6656,0.2784,4.9491,5.7689,1.3519,3.8532,0.2486,0.4889,1.0733,0.0594,0.483,0.3178,4.3743,0.2767,0.7906,0.6891,0.0579,0.3721,0.2087,2.9751,0.0421,0.1615,1.1909,0.6576,0.1307,250.8061,6.1174
4,08.12.2021,3.122,2.5303,3.4666,4.7448,0.1944,0.6655,0.2789,4.9488,5.7881,1.3445,3.8643,0.249,0.4877,1.0775,0.0594,0.4825,0.3206,4.382,0.2772,0.7806,0.6902,0.0581,0.3723,0.2086,2.9674,0.0421,0.1611,1.193,0.6576,0.1308,252.5141,6.1259
5,07.12.2021,3.115,2.5301,3.4599,4.755,0.1942,0.6655,0.2796,4.9485,5.8231,1.3527,3.8684,0.2476,0.4853,1.0759,0.0591,0.483,0.3202,4.3946,0.2754,0.7725,0.6902,0.0583,0.373,0.2069,2.9757,0.0421,0.1607,1.1966,0.6577,0.1305,251.5919,6.1365
6,06.12.2021,3.078,2.53,3.4205,4.75,0.1945,0.6654,0.2787,4.9483,5.8051,1.3562,3.8668,0.247,0.4793,1.0778,0.0593,0.4811,0.3178,4.3786,0.2738,0.7745,0.6866,0.058,0.3708,0.2058,2.9559,0.0421,0.16,1.1921,0.6575,0.1293,250.8945,6.1218
7,03.12.2021,3.0868,2.5302,3.4089,4.7595,0.1948,0.6655,0.2786,4.9487,5.8121,1.3605,3.8642,0.246,0.4799,1.0766,0.0594,0.4807,0.3195,4.3767,0.2737,0.7751,0.687,0.0583,0.3702,0.2056,2.9655,0.0421,0.1602,1.1915,0.6574,0.1293,249.2179,6.1216
8,02.12.2021,3.1039,2.5304,3.4149,4.7466,0.1947,0.6655,0.2781,4.949,5.8169,1.366,3.862,0.2465,0.4814,1.0753,0.0591,0.4817,0.3254,4.3688,0.2759,0.767,0.6853,0.0583,0.3714,0.2049,2.9771,0.0421,0.1601,1.1894,0.658,0.129,249.3428,6.1154
9,29.11.2021,3.135,2.5304,3.4429,4.7366,0.1925,0.6655,0.2792,4.949,5.8544,1.3432,3.8663,0.2474,0.4827,1.0536,0.0585,0.4799,0.3462,4.3853,0.2719,0.7817,0.6872,0.0584,0.3683,0.1995,2.9949,0.0421,0.1614,1.1939,0.6575,0.1303,253.3079,6.1308
10,26.11.2021,3.1289,2.5304,3.4377,4.7398,0.1929,0.6655,0.2791,4.9491,5.8407,1.3444,3.8469,0.2489,0.4851,1.0534,0.0581,0.4828,0.3624,4.3869,0.2705,0.788,0.6866,0.0586,0.3669,0.2005,2.9909,0.0421,0.1619,1.1943,0.658,0.1302,255.1246,6.1277
